public_file,basename,match_path,match_basename,match_total,no_match
"life-at-ipag/cay-nen-xay-nep/figma/testimonials.svg","testimonials.svg","1","1","2","false"
"life-at-ipag/cay-nen-xay-nep/hero-1.png","hero-1.png","1","4","5","false"
"life-at-ipag/cay-nen-xay-nep/hero-2.png","hero-2.png","1","4","5","false"
"life-at-ipag/cay-nen-xay-nep/hero-3.png","hero-3.png","1","4","5","false"
"life-at-ipag/cay-nen-xay-nep/hero-4.png","hero-4.png","1","4","5","false"
"life-at-ipag/che-do-dai-ngo/figma/cta-abstract-left.svg","cta-abstract-left.svg","1","1","2","false"
"life-at-ipag/che-do-dai-ngo/figma/cta-abstract-right.svg","cta-abstract-right.svg","1","1","2","false"
"life-at-ipag/che-do-dai-ngo/figma/hero-bg.png","hero-bg.png","1","1","2","false"
"life-at-ipag/che-do-dai-ngo/figma/icons/song-an-platform.svg","song-an-platform.svg","1","1","2","false"
"life-at-ipag/che-do-dai-ngo/figma/icons/song-an-pti.svg","song-an-pti.svg","1","1","2","false"
"life-at-ipag/che-do-dai-ngo/figma/icons/song-an-support.svg","song-an-support.svg","1","1","2","false"
"life-at-ipag/che-do-dai-ngo/figma/icons/song-giau-asset.svg","song-giau-asset.svg","1","1","2","false"
"life-at-ipag/che-do-dai-ngo/figma/icons/song-giau-invest.svg","song-giau-invest.svg","1","1","2","false"
"life-at-ipag/che-do-dai-ngo/figma/icons/song-giau-retirement.svg","song-giau-retirement.svg","1","1","2","false"
"life-at-ipag/che-do-dai-ngo/figma/icons/song-giau-salary.svg","song-giau-salary.svg","1","1","2","false"
"life-at-ipag/che-do-dai-ngo/figma/icons/song-giau-seniority.svg","song-giau-seniority.svg","1","1","2","false"
"life-at-ipag/che-do-dai-ngo/figma/icons/song-khoe-cbx.svg","song-khoe-cbx.svg","1","1","2","false"
"life-at-ipag/che-do-dai-ngo/figma/icons/song-khoe-flexible.svg","song-khoe-flexible.svg","1","1","2","false"
"life-at-ipag/che-do-dai-ngo/figma/icons/song-khoe-gobio.svg","song-khoe-gobio.svg","1","1","2","false"
"life-at-ipag/che-do-dai-ngo/figma/icons/song-khoe-gsf.svg","song-khoe-gsf.svg","1","1","2","false"
"life-at-ipag/che-do-dai-ngo/figma/song-an-bg.png","song-an-bg.png","1","1","2","false"
"life-at-ipag/che-do-dai-ngo/figma/song-an.png","song-an.png","1","1","2","false"
"life-at-ipag/che-do-dai-ngo/figma/song-giau.png","song-giau.png","1","1","2","false"
"life-at-ipag/che-do-dai-ngo/figma/song-khoe.png","song-khoe.png","1","1","2","false"
"life-at-ipag/che-do-dai-ngo/hero-1.png","hero-1.png","1","4","5","false"
"life-at-ipag/che-do-dai-ngo/hero-2.png","hero-2.png","1","4","5","false"
"life-at-ipag/che-do-dai-ngo/hero-3.png","hero-3.png","1","4","5","false"
"life-at-ipag/che-do-dai-ngo/hero-4.png","hero-4.png","1","4","5","false"
"life-at-ipag/che-do-dai-ngo/hero-header.png","hero-header.png","1","1","2","false"
